06-08-2019 10:29:48.000 +	ZET7156_X (08)	ZET7156_Y (09)	ZET7156_Z (10)	
c	мм/с	мм/с	мм/с	
0	-0,0363033	-0,0623783	-0,063814
0,002	-0,0392815	-0,0225807	-0,059709
0,004	-0,0149861	-0,0427117	-0,0494164
0,006	-0,014932	-0,0767773	-0,0517976
0,008	-0,0258301	-0,060343	-0,0520944
0,01	-0,00790505	-0,03558	-0,0566176
0,012	-0,0045971	-0,0325977	-0,0712192
0,014	-0,0356812	-0,0491401	-0,0681397
0,016	-0,0394589	-0,06588	-0,0567945
0,018	-0,0056942	-0,0747324	-0,0437939
0,02	-0,0203214	-0,0411804	-0,0507888
0,022	-0,0290205	-0,0355162	-0,0600058
0,024	-6,59637e-005	-0,077229	-0,0532394
0,026	0,0028097	-0,0567016	-0,0618027
0,028	-0,0212711	-0,0197968	-0,0707229
0,03	-0,0271627	-0,0365847	-0,0549345
0,032	-0,0216617	-0,0810349	-0,0320828
0,034	-0,010921	-0,0775582	-0,0517591
0,036	-0,00640703	-0,0380889	-0,0650957
0,038	-0,0219887	-0,0307572	-0,0481679
0,04	-0,0125667	-0,068811	-0,0438302
0,042	0,00739191	-0,0634735	-0,0734868
0,044	-0,0148981	-0,0235258	-0,0754343
0,046	-0,0349342	-0,0321997	-0,0374368
0,048	-0,0250812	-0,0843637	-0,0365256
0,05	-0,0328155	-0,0822462	-0,0612473
0,052	-0,0207231	-0,0245225	-0,0499122
0,054	-0,00699872	-0,0109754	-0,0508502
0,056	-0,0169852	-0,0572118	-0,090527
0,058	-0,0192541	-0,0821019	-0,0785791
0,06	-0,03123	-0,043722	-0,0225758
0,062	-0,0497073	-0,0142613	-0,0349688
0,064	-0,0444939	-0,0520846	-0,0819954
0,066	-0,0314621	-0,0803934	-0,0744323
0,068	-0,0132523	-0,0402567	-0,0541063
0,07	-0,0154718	-0,0171249	-0,0541042
0,072	-0,051536	-0,0296345	-0,0559705
0,074	-0,0486049	-0,0588809	-0,0614638
0,076	-0,0264255	-0,0743213	-0,0768322
0,078	-0,0417575	-0,0374155	-0,0538818
0,08	-0,0573535	-0,00436361	-0,0199315
0,082	-0,0299708	-0,0454905	-0,047609
0,084	-0,0195546	-0,0737851	-0,0840822
0,086	-0,0485606	-0,0313142	-0,0597997
0,088	-0,0488291	-0,00796605	-0,0332286
0,09	-0,0354906	-0,0441266	-0,047485
0,092	-0,0408896	-0,0591469	-0,0560155
0,094	-0,0304832	-0,0396281	-0,0427141
0,096	-0,0302724	-0,0305486	-0,0404902
0,098	-0,0527104	-0,0246748	-0,0541555
0,1	-0,0364982	-0,0375029	-0,0598792
0,102	-0,0307764	-0,0575741	-0,0650809
0,104	-0,0474162	-0,0283332	-0,0584313
0,106	-0,0365335	-0,0201177	-0,0289067
0,108	-0,018611	-0,0694145	-0,0319891
0,11	-0,0329606	-0,0672308	-0,06466
0,112	-0,0538194	-0,0037655	-0,0885218
0,114	-0,04905	-0,00919016	-0,064131
